"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"ABCC6";2,63253962970044e-128;0,571762674624755;0,559;0,094;6,97228120926161e-124
"CTSL";1,07062881374142e-127;-0,962604229966833;0,523;0,87;2,83556041319414e-123
"TMBIM6";1,45759447377367e-127;-0,634239619928104;0,969;0,993;3,86043896378957e-123
"CASP1";2,51511966722289e-127;-0,618498176954019;0,283;0,779;6,66129443863983e-123
"TNFAIP2";2,52808236988544e-127;-0,579294374792962;0,247;0,786;6,69562615664158e-123
"ZYX";3,18994740568651e-127;-0,310009305149234;0,344;0,86;8,44857570396073e-123
"SMOC1";1,12105546505448e-126;-0,395977101182332;0,058;0,37;2,96911539919679e-122
"SYT8";1,17106079752292e-126;-0,476078551643479;0,1;0,523;3,10155452223947e-122
"PALLD";2,12756452154339e-126;-0,458494940205439;0,278;0,794;5,63485463530767e-122
"PID1";4,19560109388251e-126;0,402288629767329;0,425;0,034;1,11120494971478e-121
"DGKA";5,40337316799862e-126;-0,381392220788067;0,079;0,578;1,43108338354443e-121
"APOBEC3C";7,73245921191315e-126;-0,45862979390356;0,236;0,758;2,0479418222752e-121
"FAM213A";1,28226142194359e-125;-0,588319777596204;0,528;0,924;3,3960693760176e-121
"FBLN2";1,62785286865304e-125;-0,284944020543654;0,058;0,434;4,31136832262758e-121
"PPIB";1,83879553776414e-125;-0,658368050608732;0,857;0,983;4,87004998176833e-121
"TRIM16";2,25371622358091e-125;-0,637508037969787;0,271;0,795;5,96896741815404e-121
"BTF3";1,12186033702439e-124;-0,525584189728113;0,813;0,99;2,9712471026091e-120
"SQRDL";3,55327419374368e-124;-0,71336014043262;0,561;0,915;9,41084670213015e-120
"SON";4,02935231480776e-124;0,855496773732779;0,995;0,966;1,06717396057683e-119
"FAR2";4,36723405834368e-124;-0,275435053134035;0,044;0,403;1,15666194035232e-119
"RBBP6";5,50889505223609e-124;0,812561734239307;0,906;0,831;1,45903085458473e-119
"SLC25A37";7,83942892197054e-124;-0,686469165378372;0,53;0,89;2,0762727499839e-119
"GBP2";8,50232686434412e-124;-0,440450624712215;0,198;0,731;2,25184127002154e-119
"CKB";1,05417677975017e-123;1,18831605800488;0,738;0,513;2,79198720116832e-119
"CACNA2D2";1,08712488194021e-123;0,452775582440195;0,559;0,106;2,87925024981864e-119
"FLJ37453";1,74704672711001e-123;0,742036932635728;0,687;0,298;4,62705325675086e-119
"ITGB4";3,95782403403742e-123;-0,467487063687018;0,348;0,851;1,04822969541481e-118
"TMEM139";6,43508668915981e-123;-0,674698059027793;0,093;0,473;1,70433270962398e-118
"F2RL1";2,39210508142062e-122;-0,657191392710767;0,21;0,674;6,33549030814252e-118
"HLA-DPB1";5,88588847786015e-122;1,07742300895801;0,858;0,833;1,55887756336126e-117
"CIB1";1,19962615611444e-121;-0,645853545548128;0,766;0,96;3,17720987446908e-117
"IGFBP2";1,25550229824013e-121;1,2200373514515;0,671;0,64;3,32519783688898e-117
"PEBP1";1,28484518722915e-121;0,743013380077762;0,935;0,931;3,40291247837639e-117
"EPB41L3";1,45700662375114e-121;-0,328720074564605;0,086;0,457;3,85888204300491e-117
"AASS";1,77976828143104e-121;0,442149928653612;0,566;0,112;4,71371629337011e-117
"PDLIM1";1,88582114857382e-121;-0,885430996227943;0,752;0,934;4,99459731199776e-117
"MPZL2";9,99309729747372e-121;-0,977843092495033;0,698;0,901;2,64667181923592e-116
"CYBA";1,0557840626278e-120;-0,535876185922928;0,841;0,981;2,79624408986973e-116
"ST3GAL4";1,11451932355028e-120;-0,618055901386384;0,194;0,639;2,95180442842292e-116
"HTATIP2";1,14238681741143e-120;-0,750702971306105;0,591;0,888;3,02561148591416e-116
"IKBKE";1,61292764182499e-120;-0,426275061033059;0,091;0,549;4,27183885937349e-116
